"T","T_star","f","h","Points:0","Points:1","Points:2"
2.60081e+02,-1.30689e+01,0.00000e+00,-2.66607e+04,7.50000e-02,1.00000e-03,0.00000e+00
2.60097e+02,-1.30527e+01,0.00000e+00,-2.66275e+04,7.60000e-02,1.00000e-03,0.00000e+00
2.60117e+02,-1.30336e+01,0.00000e+00,-2.65886e+04,7.70000e-02,1.00000e-03,0.00000e+00
2.60139e+02,-1.30112e+01,0.00000e+00,-2.65429e+04,7.80000e-02,1.00000e-03,0.00000e+00
2.60165e+02,-1.29851e+01,0.00000e+00,-2.64896e+04,7.90000e-02,1.00000e-03,0.00000e+00
2.60195e+02,-1.29545e+01,0.00000e+00,-2.64273e+04,8.00000e-02,1.00000e-03,0.00000e+00
2.60231e+02,-1.29190e+01,0.00000e+00,-2.63547e+04,8.10000e-02,1.00000e-03,0.00000e+00
2.60273e+02,-1.28775e+01,0.00000e+00,-2.62701e+04,8.20000e-02,1.00000e-03,0.00000e+00
2.60321e+02,-1.28291e+01,0.00000e+00,-2.61714e+04,8.30000e-02,1.00000e-03,0.00000e+00
2.60378e+02,-1.27727e+01,0.00000e+00,-2.60562e+04,8.40000e-02,1.00000e-03,0.00000e+00
2.60444e+02,-1.27065e+01,0.00000e+00,-2.59213e+04,8.50000e-02,1.00000e-03,0.00000e+00
2.60521e+02,-1.26286e+01,0.00000e+00,-2.57624e+04,8.60000e-02,1.00000e-03,0.00000e+00
2.60614e+02,-1.25364e+01,0.00000e+00,-2.55742e+04,8.70000e-02,1.00000e-03,0.00000e+00
2.60724e+02,-1.24260e+01,0.00000e+00,-2.53490e+04,8.80000e-02,1.00000e-03,0.00000e+00
2.60857e+02,-1.22924e+01,0.00000e+00,-2.50765e+04,8.90000e-02,1.00000e-03,0.00000e+00
2.61021e+02,-1.21282e+01,0.00000e+00,-2.47416e+04,9.00000e-02,1.00000e-03,0.00000e+00
2.61228e+02,-1.19226e+01,0.00000e+00,-2.43219e+04,9.10000e-02,1.00000e-03,0.00000e+00
2.61492e+02,-1.16587e+01,0.00000e+00,-2.37836e+04,9.20000e-02,1.00000e-03,0.00000e+00
2.61840e+02,-1.13099e+01,1.40130e-45,-2.30722e+04,9.30000e-02,1.00000e-03,0.00000e+00
2.62318e+02,-1.08318e+01,6.73044e-42,-2.20968e+04,9.40000e-02,1.00000e-03,0.00000e+00
2.63005e+02,-1.01447e+01,9.90987e-37,-2.06953e+04,9.50000e-02,1.00000e-03,0.00000e+00
2.64055e+02,-9.09476e+00,8.74298e-29,-1.85533e+04,9.60000e-02,1.00000e-03,0.00000e+00
2.65807e+02,-7.34336e+00,1.30018e-15,-1.49805e+04,9.70000e-02,1.00000e-03,0.00000e+00
2.69143e+02,-4.00717e+00,2.50000e-01,7.66136e+04,9.80000e-02,1.00000e-03,0.00000e+00
2.76123e+02,2.97320e+00,7.50000e-01,2.66145e+05,9.90000e-02,1.00000e-03,0.00000e+00
2.93150e+02,2.00000e+01,1.00000e+00,4.17720e+05,1.00000e-01,1.00000e-03,0.00000e+00
2.93150e+02,2.00000e+01,1.00000e+00,4.17720e+05,0.00000e+00,2.00000e-03,0.00000e+00
2.82203e+02,9.05299e+00,1.00000e+00,3.71896e+05,1.00000e-03,2.00000e-03,0.00000e+00
2.74646e+02,1.49560e+00,6.82028e-01,2.35774e+05,2.00000e-03,2.00000e-03,0.00000e+00
2.70033e+02,-3.11742e+00,1.82028e-01,5.44954e+04,3.00000e-03,2.00000e-03,0.00000e+00
2.67414e+02,-5.73618e+00,4.89298e-15,-1.17018e+04,4.00000e-03,2.00000e-03,0.00000e+00
2.65653e+02,-7.49700e+00,2.81838e-25,-1.52939e+04,5.00000e-03,2.00000e-03,0.00000e+00
2.64434e+02,-8.71661e+00,1.63963e-32,-1.77819e+04,6.00000e-03,2.00000e-03,0.00000e+00
2.63556e+02,-9.59366e+00,9.79070e-38,-1.95711e+04,7.00000e-03,2.00000e-03,0.00000e+00
2.62903e+02,-1.02469e+01,1.27490e-41,-2.09037e+04,8.00000e-03,2.00000e-03,0.00000e+00
2.62401e+02,-1.07485e+01,1.40130e-44,-2.19268e+04,9.00000e-03,2.00000e-03,0.00000e+00
2.62006e+02,-1.11435e+01,0.00000e+00,-2.27327e+04,1.00000e-02,2.00000e-03,0.00000e+00
2.61689e+02,-1.14612e+01,0.00000e+00,-2.33809e+04,1.10000e-02,2.00000e-03,0.00000e+00
2.61429e+02,-1.17213e+01,0.00000e+00,-2.39114e+04,1.20000e-02,2.00000e-03,0.00000e+00
2.61213e+02,-1.19371e+01,0.00000e+00,-2.43517e+04,1.30000e-02,2.00000e-03,0.00000e+00
2.61032e+02,-1.21181e+01,0.00000e+00,-2.47211e+04,1.40000e-02,2.00000e-03,0.00000e+00
2.60879e+02,-1.22714e+01,0.00000e+00,-2.50336e+04,1.50000e-02,2.00000e-03,0.00000e+00
2.60749e+02,-1.24018e+01,0.00000e+00,-2.52997e+04,1.60000e-02,2.00000e-03,0.00000e+00
2.60637e+02,-1.25133e+01,0.00000e+00,-2.55272e+04,1.70000e-02,2.00000e-03,0.00000e+00
2.60541e+02,-1.26090e+01,0.00000e+00,-2.57223e+04,1.80000e-02,2.00000e-03,0.00000e+00
2.60459e+02,-1.26911e+01,0.00000e+00,-2.58898e+04,1.90000e-02,2.00000e-03,0.00000e+00
2.60388e+02,-1.27616e+01,0.00000e+00,-2.60337e+04,2.00000e-02,2.00000e-03,0.00000e+00
2.60328e+02,-1.28222e+01,0.00000e+00,-2.61572e+04,2.10000e-02,2.00000e-03,0.00000e+00
2.60276e+02,-1.28741e+01,0.00000e+00,-2.62631e+04,2.20000e-02,2.00000e-03,0.00000e+00
2.60232e+02,-1.29185e+01,0.00000e+00,-2.63537e+04,2.30000e-02,2.00000e-03,0.00000e+00
2.60194e+02,-1.29564e+01,0.00000e+00,-2.64311e+04,2.40000e-02,2.00000e-03,0.00000e+00
2.60161e+02,-1.29887e+01,0.00000e+00,-2.64969e+04,2.50000e-02,2.00000e-03,0.00000e+00
2.60134e+02,-1.30161e+01,0.00000e+00,-2.65528e+04,2.60000e-02,2.00000e-03,0.00000e+00
2.60111e+02,-1.30393e+01,0.00000e+00,-2.66001e+04,2.70000e-02,2.00000e-03,0.00000e+00
2.60091e+02,-1.30588e+01,0.00000e+00,-2.66399e+04,2.80000e-02,2.00000e-03,0.00000e+00
2.60075e+02,-1.30752e+01,0.00000e+00,-2.66733e+04,2.90000e-02,2.00000e-03,0.00000e+00
2.60061e+02,-1.30889e+01,0.00000e+00,-2.67013e+04,3.00000e-02,2.00000e-03,0.00000e+00
2.60050e+02,-1.31003e+01,0.00000e+00,-2.67246e+04,3.10000e-02,2.00000e-03,0.00000e+00
2.60040e+02,-1.31097e+01,0.00000e+00,-2.67438e+04,3.20000e-02,2.00000e-03,0.00000e+00
2.60033e+02,-1.31175e+01,0.00000e+00,-2.67598e+04,3.30000e-02,2.00000e-03,0.00000e+00
2.60026e+02,-1.31240e+01,0.00000e+00,-2.67728e+04,3.40000e-02,2.00000e-03,0.00000e+00
2.60021e+02,-1.31292e+01,0.00000e+00,-2.67835e+04,3.50000e-02,2.00000e-03,0.00000e+00
2.60017e+02,-1.31334e+01,0.00000e+00,-2.67922e+04,3.60000e-02,2.00000e-03,0.00000e+00
